Journey ;ID;Code V0;Code VF;Experience;Theme;Service;Epic;Description;User;Priority;WP;Cartography 
Cross Journeys Onboarding;1;INFORMATIONV1.1;INFORMATIONV1.1-1;INFORMATION;Learning and teaching;Academic & Ulysseus Information;View the consolidated list of Ulysseus programs ;Access to one catalog that contains all the Ulysseus programs with 360 view for each program with key information: teachers, curriculum and classes, tuition, following job and studying opportunities ;Student;V1.1;T.7.2;Information and Documentation
Cross Journeys Onboarding;2;INFORMATIONV1.1;INFORMATIONV1.1-2;INFORMATION;Learning and teaching;Academic & Ulysseus Information;Feed the catalog of Ulysseus academic programs;Upload information in different formats;Admin staff;V1.1;T.3.1;Information and Documentation
Cross Journeys Onboarding;3;INFORMATIONV1.1;INFORMATIONV1.1-3;INFORMATION;Learning and teaching;Academic & Ulysseus Information;Search through the Ulysseus Programs ;Search through the programs based on a list of criteria (e.g. duration, faculty, study cycle);Student;V1.1;T.3.1;Information Search 
Cross Journeys Onboarding;4;INFORMATIONV1.1;INFORMATIONV1.1-4;INFORMATION;Learning and teaching;Academic & Ulysseus Information;Receive program recommendations ;Recommend a program to students based on a set of criteria (e.g. field of study, interests, studying background, career choices);Student;V1.1;T.3.1;Recommendations Engine 
Cross Journeys Onboarding;5;INFORMATIONV1.1;INFORMATIONV1.1-5;INFORMATION;Learning and teaching;Academic & Ulysseus Information;Promote the Ulysseus programs towards students;"""Share presentation videos, testimonials in video or text format of alumni 
Mention of Gender Equality and EDI in Ulysseus in the public interface""";Admin staff;V1.1;T.7.2;Content & File Management 
Journey 2 Research Project Lifecycle;6;RESEARCH INFORMATIONV1.1;RESEARCH INFORMATIONV1.1-1;RESEARCH INFORMATION;Learning and teaching;Academic & Ulysseus Information;Promote Ulysseus research programs and key results ;Present Ulysseus Innovation Hubs, research grants and awards, creation of deep teach start-ups/spin-offs and key publications (scientific, reports, etc.);Researchers;V1.1;T.7.2;Information and Documentation
Cross Journeys Onboarding;7;INFORMATIONV1.1;INFORMATIONV1.1-6;INFORMATION;Learning and teaching;Academic & Ulysseus Information;Receive email notifications for news related to the program ;Notify students for the launch of new programs or informative events, share updates on application deadlines. Students should be able to request to be notified by email. ;Student;V1.1;T.7.2;Notification Management 
Cross Journeys Innovation;8;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-1;ENTREPRENEURSHIP;Learning and teaching;Academic & Ulysseus Information;Review the existing incubation programs and the pre-requisites;Search through the available programs, read the program description ;Entrepreneur;V1.1;T.2.6;Information Search 
Cross Journeys Onboarding;9;APPLICATIONV1.1;APPLICATIONV1.1-1;APPLICATION;Application;Academic & Ulysseus Information;Review existing financial aid programs ;"""Review the list of financial aid and support programs and follow the instruction to apply 
""";Student;V1.1;T.6.8;Information and Documentation
Cross Journeys Onboarding;10;INFORMATIONV1.1;INFORMATIONV1.1-7;INFORMATION;Support;Academic Support Desk ;Chat with the Academic Service Desk;;Student;V1.1;T.3.1;Support Chat
