University;Theme;Service;Tool;Tool_Description;Importance;Service_Description;;;
UniGe;Application;Application for international mobility;Dreamapply;;app;"The students can apply online for mobility.
The applications are processed online as well.
If needed, the administration can communicate with the applicant, to request a complement for instance.";;;
UCA;Application;Application for international mobility;MoveOn ;;app;"The students can apply online for mobility.
The applications are processed online as well.
If needed, the administration can communicate with the applicant, to request a complement for instance.";;;
TUKE;Application;Application for international mobility;ePrihlaska;https://eprihlaska.tuke.sk;app;"The students can apply online for mobility.
The applications are processed online as well.
If needed, the administration can communicate with the applicant, to request a complement for instance.";;;
MCI;Authentication & Identities;Active directory;Active Directory;On-site;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
UniGe;Authentication & Identities;Active directory;Azure Active Directory;;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
UCA;Authentication & Identities;Active directory;Active Directory;;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
UCA;Authentication & Identities;Active directory;Active Directory;;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
TUKE;Authentication & Identities;Active directory;Active Directory;;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
TUKE;Authentication & Identities;Active directory;Active Directory;;Core;Active directory is the service where the AD objects in the domain are stored. It can include users, shared folders, printers…;;;
MCI;Authentication & Identities;CRM;MCI-Designer;"In-house web-apps
Self-management for personal information";Normal;A CRM (Customer Relationship Management) database contains all the stakeholders  (partner company, students…) data collected, recorded and analyzed. From this data capital, many benefits for CRM users are derived.;;;
USE ;Authentication & Identities;Database;Oracle Data Base and UXXI-ERP;Users' data.;Important;The universities use databases to store identity data and prevent duplicates.;;;
TUKE;Authentication & Identities;Database;Internal platform;Deduplication of Authentication & Identities;Important;The universities use databases to store identity data and prevent duplicates.;;;
UniGe;Authentication & Identities;Digital identity system;SPID;Only for italian citizen;Core;This service allows the management of the information of the entities used by the system : the users, devices, etc.;;;
USE ;Authentication & Identities;Digital identity system;Oracle Identity Management and Oracle Unified Directory;Manages Authentication & Identities;Core;This service allows the management of the information of the entities used by the system : the users, devices, etc.;;;
MCI;Authentication & Identities;Federated Identity Provider;Shibboleth-IDP;Authentication & Identities to MCI services;Core;The federated identity provider system provides a single access to multiple systems across different organizations;;;
UniGe;Authentication & Identities;Federated Identity Provider;IDEM/eduGAIN;;Core;The federated identity provider system provides a single access to multiple systems across different organizations;;;
